出表日期,報告年度,公司代號,公司名稱,公司年度召開法說會次數(次)
1111005,110,2485,兆赫,1
1111005,110,2486,一詮,1
1111005,110,2488,漢平,1
1111005,110,2489,瑞軒,1
1111005,110,2491,吉祥全,1
1111005,110,2492,華新科,2
1111005,110,2493,揚博,1
1111005,110,2495,普安,1
1111005,110,2496,卓越,2
1111005,110,2497,怡利電,2
1111005,110,2498,宏達電,0
1111005,110,2501,國建,1
1111005,110,2504,國產,2
1111005,110,2505,國揚,1
1111005,110,2506,太設,1
1111005,110,2509,全坤建,1
1111005,110,2511,太子,2
1111005,110,2514,龍邦,1
1111005,110,2515,中工,1
1111005,110,2516,新建,1
1111005,110,2520,冠德,1
1111005,110,2524,京城,1
1111005,110,2527,宏璟,1
1111005,110,2528,皇普,1
1111005,110,2530,華建,2
1111005,110,2534,宏盛,1
1111005,110,2535,達欣工,1
1111005,110,2536,宏普,1
1111005,110,2537,聯上發,1
1111005,110,2538,基泰,1
1111005,110,2539,櫻花建,1
1111005,110,2540,愛山林,1
1111005,110,2542,興富發,1
1111005,110,2543,皇昌,1
1111005,110,2545,皇翔,1
1111005,110,2546,根基,1
1111005,110,2547,日勝生,2
1111005,110,2548,華固,2
1111005,110,2597,潤弘,1
1111005,110,2601,益航,1
1111005,110,2603,長榮,2
1111005,110,2605,新興,2
1111005,110,2606,裕民,4
1111005,110,2607,榮運,1
1111005,110,2608,嘉里大榮,2
1111005,110,2609,陽明,6
1111005,110,2610,華航,2
1111005,110,2611,志信,1
1111005,110,2612,中航,4
1111005,110,2613,中櫃,2
1111005,110,2614,東森,1
1111005,110,2615,萬海,4
1111005,110,2616,山隆,1
1111005,110,2617,台航,1
1111005,110,2618,長榮航,2
1111005,110,2630,亞航,1
1111005,110,2633,台灣高鐵,4
1111005,110,2634,漢翔,2
1111005,110,2636,台驊投控,3
1111005,110,2637,慧洋-KY,6
1111005,110,2642,宅配通,2
1111005,110,2701,萬企,1
1111005,110,2702,華園,1
1111005,110,2704,國賓,1
1111005,110,2705,六福,1
1111005,110,2706,第一店,1
1111005,110,2707,晶華,1
1111005,110,2712,遠雄來,1
1111005,110,2722,夏都,2
1111005,110,2723,美食-KY,4
1111005,110,2727,王品,2
1111005,110,2731,雄獅,1
1111005,110,2739,寒舍,1
1111005,110,2748,雲品,2
1111005,110,2753,八方雲集,1
1111005,110,2801,彰銀,4
1111005,110,2809,京城銀,6
1111005,110,2812,台中銀,4
1111005,110,2816,旺旺保,1
1111005,110,2820,華票,1
1111005,110,2832,台產,2
1111005,110,2834,臺企銀,4
1111005,110,2836,高雄銀,2
1111005,110,2838,聯邦銀,2
1111005,110,2845,遠東銀,4
1111005,110,2849,安泰銀,1
1111005,110,2850,新產,2
1111005,110,2851,中再保,2
1111005,110,2852,第一保,1
1111005,110,2855,統一證,4
1111005,110,2867,三商壽,2
1111005,110,2880,華南金,2
1111005,110,2881,富邦金,4
1111005,110,2882,國泰金,8
1111005,110,2883,開發金,7
1111005,110,2884,玉山金,8
1111005,110,2885,元大金,6
1111005,110,2886,兆豐金,2
1111005,110,2887,台新金,6
1111005,110,2888,新光金,8
1111005,110,2889,國票金,2
1111005,110,2890,永豐金,8
1111005,110,2891,中信金,4
1111005,110,2892,第一金,4
1111005,110,2897,王道銀行,3
1111005,110,2901,欣欣,1
1111005,110,2903,遠百,1
1111005,110,2904,匯僑,1
1111005,110,2905,三商,1
1111005,110,2906,高林,1
1111005,110,2908,特力,1
1111005,110,2910,統領,1
1111005,110,2911,麗嬰房,1
1111005,110,2912,統一超,4
1111005,110,2913,農林,1
1111005,110,2915,潤泰全,1
1111005,110,2923,鼎固-KY,1
1111005,110,2929,淘帝-KY,1
1111005,110,2939,凱羿-KY,1
1111005,110,2945,三商家購,1
1111005,110,3002,歐格,1
1111005,110,3003,健和興,1
1111005,110,3004,豐達科,1
1111005,110,3005,神基,5
1111005,110,3006,晶豪科,2
1111005,110,3008,大立光,4
1111005,110,3010,華立,2
1111005,110,3011,今皓,1
1111005,110,3013,晟銘電,1
1111005,110,3014,聯陽,2
1111005,110,3015,全漢,2
1111005,110,3016,嘉晶,1
1111005,110,3017,奇鋐,2
1111005,110,3018,同開,1
1111005,110,3019,亞光,1
1111005,110,3021,鴻名,2
1111005,110,3022,威強電,1
1111005,110,3023,信邦,1
1111005,110,3024,憶聲,1
1111005,110,3025,星通,1
1111005,110,3026,禾伸堂,4
1111005,110,3027,盛達,1
1111005,110,3028,增你強,1
1111005,110,3029,零壹,2
1111005,110,3030,德律,2
1111005,110,3031,佰鴻,1
1111005,110,3032,偉訓,1
1111005,110,3033,威健,1
1111005,110,3034,聯詠,4
1111005,110,3035,智原,4
