出表日期,報告年度,公司代號,公司名稱,用水量(公噸),資料範圍,用水密集度-密集度(公噸/單位),用水密集度-單位,取得驗證,水資源管理或減量目標
1111005,110,2395,研華,332806.0000,研華台灣(瑞光大樓、陽光大樓、東湖廠、林口園區)、日本廠、昆山園區,5.9400,營業額百萬,AA1000,"研華各廠區分別透過使用省水水龍頭與省水馬桶及節水措施宣導等方式，設法降低人均用水量。所有廠辦皆位於都會區之已開發工業區或園區，採自來水供水措施，無抽取地下水或井水之情事。
研華廠區近四年度總用水量如圖 4.4.1 所示，進一步分析近四年研華廠區單位營收用水量如圖 4.4.2 所示。2021 年的用水量以及單位營收用水量相較前幾年反有所增長，主要是因昆山廠區擴建 ( 五期 ) 並投入營運。研華近年來陸續執行節水的改善方案，台灣地區主要是透過雨水回收再利用於生活用水、智慧澆灌節水與智慧空調之冷卻水及冰水系統監控管制等節水方案，降低了整體用水量。昆山廠區則已在各棟廠房生產車間加裝水錶並進行用水計量管理，區分一期、二期、三四五期、宿舍、廚房，設備用水，分析合理用水量。此外，研華林口二、三期都設置雨水回收系統用於噴灌及沖廁，設計時以年替代率達 50% 以上為設計目標，但尚未實際進行量量監測；現已進行流量計安裝，預計 2022 年第二季可開始進行雨水回收系統實際替代率的數值監控，並依此進行方案改善依據。昆山廠區則透過水回收再生系統回收水資源，中水回收率達 70%，每年可節省用水達 53%。未來將規劃更多的改善方案節約水資源。"
1111005,110,2397,友通,30047.0000,友通資訊之組織邊界設定以營運控制權為主，其盤查組織邊界之溫室氣體排放量百分之百歸屬本公司，友通包括汐止遠雄總部、汐止工廠及桃園工廠，其中汐止工廠於2021年4月至10月搬遷，11月25日完成交屋。,,,N,"本公司除透過產品與服務以改善人類資訊生活外，並致力於社會責任、能源管理及環境衛生管理等之實踐與理念推廣，回饋社會，提升安全績效及生活環境品質，公司將整合社會責任、能源、環境安全衛生管理、優質企業安全管理與現行經營理念，承諾提供必要之資源與資訊，以更有效率方式執行社會責任及環境、安全、衛生政策，以達到組織設定之目標及標的。
明定防污減廢、節能省水、安全健康、防範於未然、改善再改善，強化產品生態化設計，降低產品生命週期之衝擊，輔導供應商，要求其達到標準等為主要政策之一。"
1111005,110,2399,映泰,276.0000,110年1-12月每月平均用水噸數,,,N,無
1111005,110,2401,凌陽,30320.0000,母公司,87.8800,員工人數 (30320度/345人),N,透過廠務監控系統調控，減少空調用水量；向同仁宣導節水措施，以減少生活用水量；期望以每年減量2%為目標
1111005,110,2402,毅嘉,108381.0000,僅母公司,,,N,研討中
1111005,110,2404,漢唐,,,,,N,尚未訂定
1111005,110,2405,輔信,4829.0000,母公司,,,N,"(1) 張貼節約用水標語，使大家養成隨時關水習慣。
(2) 全面加裝省水裝置，節省適當水量。
(3) 發現漏水應立即通報，避免於浪費用水。"
1111005,110,2406,國碩,51472.0000,國碩二廠和國碩新豐廠,0.0616,"835,000萬元",N,每日檢討製程機台用水狀況，定期巡視管線狀況並檢討空調系統以降低耗水量
1111005,110,2408,南亞科,3456524.0000,母公司,3.0800,千顆晶粒,ISO 14001,114年目標：自107年起累計單位產能用水量較106年減少40%
1111005,110,2409,友達,24991780.0000,全球營運據點,0.2900,產品(米平方),ISO46001,"1.AUO Water 2025 水目標：2018年至2025年節約自來水量累計達100,000 CMD(每日立方米)，持續精進水資源使用效率
2.2024年台灣廠區100%導入ISO 46001水資源效率管理系統認證"
