出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
1111005,110,2704,國賓,787,655,587,474,47.00%,28人,3.00%
1111005,110,2705,六福,526,430,488,425,55.30%,44人,0.36%
1111005,110,2706,第一店,610,496,425,406,66.67%,0人,0.00%
1111005,110,2707,晶華,698,584,610,495,50.79%,11人,0.96%
1111005,110,2712,遠雄來,575,475,493,395,32.79%,7人,0.18%
1111005,110,2722,夏都,501,413,419,359,54.84%,8人,1.83%
1111005,110,2723,美食-KY,,,,,36.00%,260人,1.79%
1111005,110,2727,王品,491,408,594,502,41.04%,69人,0.78%
1111005,110,2731,雄獅,530,421,425,390,71.11%,4人,0.33%
1111005,110,2739,寒舍,671,555,552,465,45.80%,97人,7.27%
1111005,110,2748,雲品,692,578,546,479,52.10%,24人,3.47%
1111005,110,2753,八方雲集,1091,936,789,721,40.91%,17人,1.28%
1111005,110,2801,彰銀,1705,1342,1285,1194,58.96%,1人,0.01%
1111005,110,2809,京城銀,1069,920,846,763,53.87%,2人,0.21%
1111005,110,2812,台中銀,1309,1131,1058,876,37.93%,16人,0.58%
1111005,110,2816,旺旺保,1152,998,1005,786,42.00%,4人,0.88%
1111005,110,2820,華票,2226,1883,1581,1386,12.50%,0人,0.00%
1111005,110,2832,台產,1042,911,960,728,7.95%,4人,0.44%
1111005,110,2834,臺企銀,1538,1245,1195,1069,48.11%,4人,0.08%
1111005,110,2836,高雄銀,1545,1286,1185,1085,51.27%,5人,4.59%
1111005,110,2838,聯邦銀,1009,862,838,737,54.16%,3人,1.14%
1111005,110,2845,遠東銀,1467,1230,1167,1037,39.44%,1人,0.00%
1111005,110,2849,安泰銀,1174,1022,939,803,49.57%,16人,1.09%
1111005,110,2850,新產,1338,1227,1159,871,17.39%,0人,0.00%
1111005,110,2851,中再保,2086,1836,1631,1479,44.74%,2人,1.37%
1111005,110,2852,第一保,1178,1053,1040,786,12.73%,2人,0.00%
1111005,110,2855,統一證,2433,2161,1782,1163,35.04%,0人,0.00%
1111005,110,2867,三商壽,1019,896,872,743,48.41%,2人,0.10%
1111005,110,2880,華南金,1714,1398,1332,1141,52.18%,42人,0.40%
1111005,110,2881,富邦金,1223,1033,1436,1136,55.90%,50人,0.32%
1111005,110,2882,國泰金,1160,1014,1320,1088,52.55%,75人,0.13%
1111005,110,2883,開發金,1933,1658,1468,1143,61.00%,0人,0.70%
1111005,110,2884,玉山金,1454,1234,1168,1069,43.20%,20人,0.20%
1111005,110,2885,元大金,2310,2043,1612,1346,53.32%,24人,0.22%
1111005,110,2886,兆豐金,2091,1539,1450,1173,52.00%,56人,3.26%
1111005,110,2887,台新金,1564,1333,1300,1034,48.00%,1人,0.01%
1111005,110,2888,新光金,1247,1083,1198,1017,55.30%,12人,0.07%
1111005,110,2889,國票金,2072,1846,1417,1010,11.11%,0人,0.00%
1111005,110,2890,永豐金,1704,1451,1363,1116,39.29%,28人,0.32%
1111005,110,2891,中信金,2102,1902,1557,1259,56.09%,25人,0.18%
1111005,110,2892,第一金,1751,1496,1294,1180,51.10%,8人,0.08%
1111005,110,2897,王道銀行,1738,1545,1251,1023,46.00%,7人,0.80%
1111005,110,2901,欣欣,853,689,568,518,44.44%,0人,0.00%
1111005,110,2903,遠百,853,771,700,653,25.45%,0人,0.00%
1111005,110,2904,匯僑,1049,875,671,655,20.00%,0人,0.00%
1111005,110,2905,三商,2850,2676,874,742,47.96%,2人,0.11%
1111005,110,2906,高林,914,766,564,507,51.50%,0人,0.00%
1111005,110,2908,特力,1165,916,926,795,66.67%,2人,0.04%
1111005,110,2910,統領,725,600,560,514,3.89%,0人,0.00%
1111005,110,2911,麗嬰房,577,470,477,434,46.15%,0人,0.00%
1111005,110,2912,統一超,811,681,933,807,49.54%,22人,0.26%
1111005,110,2913,農林,808,647,583,471,43.00%,5人,1.47%
1111005,110,2915,潤泰全,755,642,540,420,41.00%,0人,0.00%
1111005,110,2923,鼎固-KY,,,,,40.19%,0人,0.00%
1111005,110,2929,淘帝-KY,,,,,22.00%,0人,0.00%
1111005,110,2939,凱羿-KY,,,,,37.50%,0人,0.00%
1111005,110,2945,三商家購,442,356,413,346,57.00%,42人,1.11%
1111005,110,3002,歐格,1138,997,897,875,55.55%,0人,0.00%
1111005,110,3003,健和興,817,687,584,521,17.30%,2人,0.28%
1111005,110,3004,豐達科,936,799,690,619,19.00%,2人,0.48%
1111005,110,3005,神基,1718,1578,1488,1242,21.83%,15人,0.16%
1111005,110,3006,晶豪科,4825,4605,4509,4333,4.42%,0人,0.00%
1111005,110,3008,大立光,1228,1094,1146,842,10.00%,32人,0.45%
1111005,110,3010,華立,2092,1840,1431,1155,11.11%,1人,0.24%
1111005,110,3011,今皓,967,830,670,540,12.50%,0人,0.00%
1111005,110,3013,晟銘電,1196,985,877,840,37.00%,29人,0.58%
1111005,110,3014,聯陽,3183,2957,2849,2698,13.00%,0人,0.00%
1111005,110,3015,全漢,1174,1023,984,845,27.27%,3人,0.40%
1111005,110,3016,嘉晶,1067,888,951,851,27.45%,3人,0.48%
1111005,110,3017,奇鋐,1344,1131,969,869,20.85%,16人,0.15%
1111005,110,3018,同開,911,762,605,570,40.00%,0人,0.00%
1111005,110,3019,亞光,1254,1105,954,783,12.75%,0人,0.00%
1111005,110,3021,鴻名,761,618,693,561,50.00%,0人,0.00%
1111005,110,3022,威強電,1243,1089,843,795,25.71%,0人,0.00%
1111005,110,3023,信邦,813,679,677,498,46.67%,14人,1.16%
1111005,110,3024,憶聲,1242,1056,867,822,41.42%,0人,0.00%
1111005,110,3025,星通,1169,1002,1007,844,45.45%,0人,0.00%
1111005,110,3026,禾伸堂,1100,963,869,646,46.88%,20人,1.91%
1111005,110,3027,盛達,991,793,788,716,30.43%,0人,0.00%
1111005,110,3028,增你強,1273,1100,1048,923,32.10%,3人,0.40%
1111005,110,3029,零壹,1466,1273,1050,849,52.00%,0人,0.00%
1111005,110,3030,德律,1348,1166,1168,1019,10.53%,5人,0.90%
1111005,110,3031,佰鴻,1374,1227,849,761,34.00%,1人,1.28%
1111005,110,3032,偉訓,1649,1455,970,881,2.14%,0人,0.00%
1111005,110,3033,威健,1762,1557,1350,1191,9.78%,1人,0.20%
1111005,110,3034,聯詠,5412,5162,4994,4018,8.20%,0人,0.00%
1111005,110,3035,智原,2432,2202,2073,1633,18.24%,0人,0.00%
1111005,110,3036,文曄,1885,1684,1373,1088,26.10%,0人,0.00%
1111005,110,3037,欣興,1068,921,866,689,18.87%,56人,0.42%
1111005,110,3038,全台,730,630,621,535,15.79%,3人,0.35%
1111005,110,3040,遠見,1157,1001,815,828,50.00%,0人,0.00%
1111005,110,3041,揚智,2409,2172,1818,1564,15.00%,0人,0.00%
1111005,110,3042,晶技,1144,1049,1036,782,15.27%,10人,0.92%
1111005,110,3043,科風,700,590,440,398,16.00%,0人,0.00%
1111005,110,3044,健鼎,1103,972,666,465,15.77%,0人,0.00%
