出表日期,報告年度,公司代號,公司名稱,董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率
1111005,110,6585,鼎基,7,3,0席,0.00%,91.00%,100.00%
1111005,110,6591,動力-KY,7,3,0席,0.00%,100.00%,100.00%
1111005,110,6592,和潤企業,9,3,0席,0.00%,97.78%,100.00%
1111005,110,6598,ABC-KY,6,3,0席,0.00%,100.00%,100.00%
1111005,110,6605,帝寶,7,1,2席,28.57%,97.92%,71.43%
1111005,110,6625,必應,7,3,0席,0.00%,91.67%,100.00%
1111005,110,6641,基士德-KY,7,3,1席,14.30%,100.00%,100.00%
1111005,110,6655,科定,7,3,1席,14.28%,98.70%,100.00%
1111005,110,6666,羅麗芬-KY,8,4,3席,37.50%,97.92%,100.00%
1111005,110,6668,中揚光,7,3,0席,0.00%,100.00%,100.00%
1111005,110,6669,緯穎,9,4,2席,22.22%,100.00%,100.00%
1111005,110,6670,復盛應用,8,3,0席,0.00%,97.01%,100.00%
1111005,110,6671,三能-KY,9,3,1席,11.11%,96.30%,100.00%
1111005,110,6672,騰輝電子-KY,7,3,0席,0.00%,96.40%,100.00%
1111005,110,6674,鋐寶科技,7,3,1席,14.29%,88.57%,42.86%
1111005,110,6691,洋基工程,7,3,0席,0.00%,88.04%,100.00%
1111005,110,6698,旭暉應材,9,4,4席,44.00%,96.00%,100.00%
1111005,110,6706,惠特,9,3,1席,11.11%,98.61%,100.00%
1111005,110,6715,嘉基,7,3,1席,14.28%,100.00%,100.00%
1111005,110,6719,力智,9,3,0席,0.00%,98.77%,100.00%
1111005,110,6743,安普新,9,3,1席,11.11%,97.53%,100.00%
1111005,110,6754,匯僑設計,7,3,2席,28.57%,100.00%,100.00%
1111005,110,6756,威鋒電子,9,3,1席,11.11%,100.00%,100.00%
1111005,110,6768,志強-KY,7,3,0席,0.00%,100.00%,100.00%
1111005,110,6770,力積電,9,5,0席,0.00%,98.86%,100.00%
1111005,110,6776,展碁國際,7,4,1席,14.29%,97.14%,100.00%
1111005,110,6781,AES-KY,7,3,1席,0.14%,100.00%,100.00%
1111005,110,6789,采鈺,6,3,3席,50.00%,97.00%,16.00%
1111005,110,6790,永豐實,7,3,2席,28.60%,100.00%,100.00%
1111005,110,6792,詠業,7,3,0席,0.00%,100.00%,100.00%
1111005,110,6796,晉弘,7,3,1席,14.28%,98.33%,100.00%
1111005,110,6799,來頡,7,3,0席,0.00%,96.43%,71.43%
1111005,110,6806,森崴能源,7,3,1席,14.29%,94.64%,0.00%
1111005,110,6807,峰源-KY,9,4,0席,0.00%,100.00%,100.00%
1111005,110,8011,台通,7,3,3席,42.86%,93.65%,70.00%
1111005,110,8016,矽創,9,4,1席,11.11%,100.00%,100.00%
1111005,110,8021,尖點,7,3,2席,28.57%,98.00%,100.00%
1111005,110,8028,昇陽半導體,9,3,1席,11.11%,93.39%,100.00%
1111005,110,8033,雷虎,7,2,2席,28.58%,87.15%,100.00%
1111005,110,8039,台虹,9,3,0席,0.00%,97.06%,100.00%
1111005,110,8046,南電,9,3,0席,0.00%,100.00%,100.00%
1111005,110,8070,長華*,9,3,0席,0.00%,96.67%,100.00%
1111005,110,8072,陞泰,7,4,2席,28.60%,100.00%,100.00%
1111005,110,8081,致新,7,3,3席,42.86%,88.10%,14.29%
1111005,110,8101,華冠,9,3,0席,0.00%,83.33%,100.00%
1111005,110,8103,瀚荃,7,3,1席,14.29%,95.71%,100.00%
1111005,110,8104,錸寶,9,3,3席,33.00%,98.15%,100.00%
1111005,110,8105,凌巨,7,3,0席,0.00%,89.80%,100.00%
1111005,110,8110,華東,9,3,0席,0.00%,86.00%,89.00%
1111005,110,8112,至上,7,3,1席,14.29%,85.71%,100.00%
1111005,110,8114,振樺電,9,3,2席,22.22%,98.15%,100.00%
1111005,110,8131,福懋科,11,3,1席,9.09%,86.36%,100.00%
1111005,110,8150,南茂,9,5,3席,33.33%,94.44%,100.00%
1111005,110,8163,達方,9,4,1席,11.11%,98.00%,100.00%
1111005,110,8201,無敵,7,3,0席,0.00%,100.00%,100.00%
1111005,110,8210,勤誠,5,4,3席,33.33%,98.76%,100.00%
1111005,110,8213,志超,15,3,5席,33.33%,95.90%,33.33%
1111005,110,8215,明基材,8,3,0席,0.00%,100.00%,100.00%
1111005,110,8222,寶一,7,3,2席,28.57%,100.00%,100.00%
1111005,110,8249,菱光,7,3,1席,14.29%,92.37%,100.00%
1111005,110,8261,富鼎,7,3,1席,14.28%,97.62%,100.00%
1111005,110,8271,宇瞻,9,3,1席,11.11%,95.00%,100.00%
1111005,110,8341,日友,7,3,0席,0.00%,100.00%,100.00%
1111005,110,8367,建新國際,11,3,1席,9.09%,92.56%,100.00%
1111005,110,8374,羅昇,9,3,2席,22.22%,100.00%,100.00%
1111005,110,8404,百和興業-KY,8,3,0席,0.00%,98.57%,100.00%
1111005,110,8411,福貞-KY,7,3,2席,28.57%,95.92%,100.00%
1111005,110,8422,可寧衛,6,3,0席,0.00%,100.00%,100.00%
1111005,110,8429,金麗-KY,7,3,0席,0.00%,83.00%,100.00%
1111005,110,8438,昶昕,9,3,2席,22.22%,100.00%,100.00%
1111005,110,8442,威宏-KY,9,3,0席,0.00%,94.00%,100.00%
1111005,110,8443,阿瘦,7,3,1席,14.29%,96.43%,100.00%
1111005,110,8454,富邦媒,9,3,1席,11.11%,100.00%,100.00%
1111005,110,8462,柏文,7,3,2席,28.57%,95.60%,100.00%
1111005,110,8463,潤泰材,9,3,1席,11.11%,90.28%,100.00%
1111005,110,8464,億豐,9,3,0席,0.00%,98.60%,100.00%
1111005,110,8466,美吉吉-KY,8,2,0席,0.00%,94.44%,100.00%
1111005,110,8467,波力-KY,7,3,2席,28.57%,95.24%,86.00%
1111005,110,8473,山林水,9,3,1席,11.00%,84.00%,100.00%
1111005,110,8478,東哥遊艇,6,3,0席,0.00%,100.00%,100.00%
1111005,110,8480,泰昇-KY,7,4,2席,28.00%,100.00%,100.00%
1111005,110,8481,政伸,11,3,1席,9.00%,100.00%,100.00%
1111005,110,8482,商億-KY,4,3,1席,14.00%,98.00%,100.00%
1111005,110,8488,吉源-KY,9,3,1席,11.11%,100.00%,100.00%
1111005,110,8499,鼎炫-KY,7,3,3席,42.86%,100.00%,100.00%
1111005,110,8926,台汽電,13,3,1席,8.00%,95.73%,100.00%
1111005,110,8940,新天地,7,3,2席,28.57%,100.00%,100.00%
1111005,110,8996,高力,9,3,0席,0.00%,100.00%,100.00%
1111005,110,9802,鈺齊-KY,8,5,1席,12.50%,100.00%,100.00%
1111005,110,9902,台火,7,3,0席,0.00%,100.00%,100.00%
1111005,110,9904,寶成,9,3,2席,22.00%,100.00%,100.00%
1111005,110,9905,大華,10,3,2席,20.00%,93.33%,50.00%
1111005,110,9906,欣巴巴,6,2,4席,66.67%,94.87%,100.00%
1111005,110,9907,統一實,10,3,1席,10.00%,100.00%,100.00%
1111005,110,9908,大台北,15,3,2席,13.30%,93.30%,86.60%
1111005,110,9910,豐泰,13,4,1席,7.69%,100.00%,100.00%
1111005,110,9911,櫻花,9,3,0席,0.00%,97.00%,100.00%
1111005,110,9912,偉聯,7,3,2席,28.57%,100.00%,100.00%
1111005,110,9914,美利達,13,4,3席,23.00%,98.00%,100.00%
1111005,110,9917,中保科,11,3,1席,9.09%,97.27%,100.00%
1111005,110,9918,欣天然,24,5,3席,12.50%,88.37%,79.17%
1111005,110,9919,康那香,9,3,3席,33.33%,98.84%,100.00%
1111005,110,9921,巨大,11,3,1席,9.09%,98.70%,100.00%
1111005,110,9924,福興,10,3,1席,10.00%,96.00%,100.00%
1111005,110,9925,新保,9,4,0席,0.00%,86.87%,66.67%
1111005,110,9926,新海,15,3,2席,13.33%,79.38%,46.67%
1111005,110,9927,泰銘,9,3,0席,0.00%,96.00%,55.56%
1111005,110,9928,中視,9,3,2席,22.22%,95.24%,77.78%
1111005,110,9929,秋雨,6,2,0席,0.00%,97.40%,14.30%
1111005,110,9930,中聯資源,15,3,0席,0.00%,89.00%,100.00%
1111005,110,9931,欣高,9,3,2席,22.00%,100.00%,70.00%
1111005,110,9933,中鼎,8,4,1席,8.33%,94.05%,100.00%
1111005,110,9934,成霖,6,3,1席,16.67%,96.30%,83.33%
1111005,110,9935,慶豐富,7,3,0席,0.00%,98.57%,42.86%
1111005,110,9937,全國,9,3,2席,22.22%,96.67%,100.00%
1111005,110,9938,百和,8,3,2席,25.00%,100.00%,100.00%
1111005,110,9939,宏全,9,3,1席,11.00%,98.00%,66.70%
1111005,110,9940,信義,7,4,1席,14.29%,96.00%,100.00%
1111005,110,9941,裕融,11,4,1席,9.09%,93.50%,100.00%
1111005,110,9942,茂順,9,3,3席,33.33%,90.48%,100.00%
1111005,110,9943,好樂迪,7,2,2席,28.57%,96.43%,71.43%
1111005,110,9944,新麗,7,3,4席,57.00%,100.00%,100.00%
1111005,110,9945,潤泰新,9,3,3席,33.33%,87.18%,100.00%
1111005,110,9946,三發地產,7,3,0席,0.00%,100.00%,100.00%
1111005,110,9955,佳龍,7,3,0席,0.00%,92.86%,100.00%
1111005,110,9958,世紀鋼,9,3,1席,0.11%,100.00%,100.00%
